DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND
12/2/2012,0.0,0,0,11.1,0.0,27
12/3/2012,0.0,0,0,15.0,5.0,45
12/4/2012,0.3,0,0,13.9,3.9,32
12/5/2012,0.0,0,0,13.9,0.6,71
12/6/2012,0.0,0,0,5.0,-1.1,38
12/7/2012,0.8,0,0,6.7,-1.1,22
12/8/2012,8.6,0,0,8.3,6.1,22
12/9/2012,2.0,0,0,9.4,5.0,39
12/10/2012,14.2,0,0,15.6,5.6,36
12/11/2012,0.0,0,0,13.3,1.1,50
12/12/2012,0.0,0,0,4.4,-0.6,35
12/13/2012,0.0,0,0,5.6,-1.7,18
12/14/2012,0.0,0,0,9.4,-0.6,48
12/15/2012,0.0,0,0,4.4,0.6,39
12/16/2012,6.4,0,0,3.9,1.1,62
12/17/2012,12.2,0,0,7.2,2.8,64
12/18/2012,21.8,0,0,10.0,5.0,47
12/19/2012,0.0,0,0,7.2,3.3,69
12/20/2012,0.0,0,0,6.1,0.6,38
12/21/2012,16.5,0,0,11.1,3.3,95
12/22/2012,0.0,0,0,3.3,-1.1,73
12/23/2012,0.0,0,0,3.3,-1.7,58
12/24/2012,0.0,0,0,4.4,-0.6,36
12/25/2012,0.3,0,5,1.7,-2.2,37
12/26/2012,5.8,0,0,3.9,-5.0,63
12/27/2012,42.4,0,3,8.3,-1.1,108
12/28/2012,0.0,0,0,2.8,-2.2,62
12/29/2012,17.5,0,56,2.8,-1.7,42
12/30/2012,1.0,0,10,-1.1,-5.6,85
12/31/2012,0.0,0,0,1.1,-6.1,61
1/1/2013,0.0,0,0,2.8,-6.7,64
1/2/2013,0.0,0,0,-1.1,-11.1,61
1/3/2013,0.0,0,0,-3.9,-13.9,47
1/4/2013,0.0,0,0,3.3,-6.1,58
1/5/2013,0.0,0,0,5.6,-2.8,41
1/6/2013,0.0,0,0,6.1,-2.2,35
1/7/2013,0.0,0,0,3.9,-1.7,40
1/8/2013,0.0,0,0,7.8,-2.2,57
1/9/2013,0.0,0,0,7.8,-2.2,35
1/10/2013,0.0,0,0,8.3,1.7,68
1/11/2013,3.0,0,0,4.4,-0.6,20
1/12/2013,0.3,0,0,6.7,3.3,10
1/13/2013,0.0,0,0,10.6,4.4,30
1/14/2013,0.0,0,0,16.1,5.6,59
1/15/2013,0.0,0,0,5.6,1.7,28
1/16/2013,9.4,0,81,2.2,-1.1,29
1/17/2013,0.0,0,0,5.6,-1.1,51
1/18/2013,0.0,0,0,-1.1,-7.2,58
1/19/2013,0.0,0,0,9.4,-4.4,78
1/20/2013,0.0,0,0,12.2,-1.7,83
1/21/2013,0.3,0,10,-1.1,-5.0,46
1/22/2013,0.0,0,0,-3.9,-9.4,65
1/23/2013,0.0,0,0,-8.3,-13.3,67
1/24/2013,0.0,0,0,-6.1,-15.6,78
